,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Planning the Battle,0.27,0.103,2.0,-27.763,1.0,0.0392,0.167,0.635,0.148,0.0369,190.121,audio_features,2TWGHV8HZKvyq6LJKu9t6q,spotify:track:2TWGHV8HZKvyq6LJKu9t6q,https://api.spotify.com/v1/tracks/2TWGHV8HZKvyq6LJKu9t6q,https://api.spotify.com/v1/audio-analysis/2TWGHV8HZKvyq6LJKu9t6q,101645.0,4.0
Bodha,,,,,,,,,,,,,,,,,,
Unillusioned,0.723,0.437,9.0,-14.421,0.0,0.0439,0.412,0.902,0.137,0.176,134.998,audio_features,6QMWnziznnGkCvPtYBToSJ,spotify:track:6QMWnziznnGkCvPtYBToSJ,https://api.spotify.com/v1/tracks/6QMWnziznnGkCvPtYBToSJ,https://api.spotify.com/v1/audio-analysis/6QMWnziznnGkCvPtYBToSJ,519111.0,4.0
If You Want,0.687,0.284,0.0,-13.452,1.0,0.0355,0.791,0.0145,0.158,0.851,132.242,audio_features,340t55txxJWQmTFK7wARZh,spotify:track:340t55txxJWQmTFK7wARZh,https://api.spotify.com/v1/tracks/340t55txxJWQmTFK7wARZh,https://api.spotify.com/v1/audio-analysis/340t55txxJWQmTFK7wARZh,165133.0,4.0
Crown of Amber Canopy,0.0735,0.156,4.0,-17.882,1.0,0.0407,0.844,0.954,0.116,0.0478,65.237,audio_features,1scdv2vkroCusRpya3dS6F,spotify:track:1scdv2vkroCusRpya3dS6F,https://api.spotify.com/v1/tracks/1scdv2vkroCusRpya3dS6F,https://api.spotify.com/v1/audio-analysis/1scdv2vkroCusRpya3dS6F,356427.0,4.0
Smooth (feat. Rob Thomas),0.609,0.923,9.0,-3.908,1.0,0.0338,0.16,4.73e-06,0.295,0.961,115.996,audio_features,0n2SEXB2qoRQg171q7XqeW,spotify:track:0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW,294987.0,4.0
Purple Eye,0.695,0.484,5.0,-10.452,0.0,0.033,0.333,0.911,0.12,0.137,110.017,audio_features,4HMHYwye2TQmb3oN307oHw,spotify:track:4HMHYwye2TQmb3oN307oHw,https://api.spotify.com/v1/tracks/4HMHYwye2TQmb3oN307oHw,https://api.spotify.com/v1/audio-analysis/4HMHYwye2TQmb3oN307oHw,285273.0,4.0
Goya,0.807,0.898,6.0,-5.837,0.0,0.0393,0.188,0.000395,0.0824,0.743,112.998,audio_features,4iwiYqzoLImJraKQ9Pf2I2,spotify:track:4iwiYqzoLImJraKQ9Pf2I2,https://api.spotify.com/v1/tracks/4iwiYqzoLImJraKQ9Pf2I2,https://api.spotify.com/v1/audio-analysis/4iwiYqzoLImJraKQ9Pf2I2,227101.0,4.0
Tundra,0.441,0.946,4.0,-7.595,0.0,0.0371,0.0462,0.922,0.13,0.0816,138.007,audio_features,5d3RedVunaz9MasCOTbAHc,spotify:track:5d3RedVunaz9MasCOTbAHc,https://api.spotify.com/v1/tracks/5d3RedVunaz9MasCOTbAHc,https://api.spotify.com/v1/audio-analysis/5d3RedVunaz9MasCOTbAHc,217391.0,4.0
Worry Not,,,,,,,,,,,,,,,,,,
Today,0.576,0.673,2.0,-11.383,1.0,0.0307,0.0616,0.00601,0.114,0.57,168.413,audio_features,0jiKqHfWmSgPInSsGWBjbL,spotify:track:0jiKqHfWmSgPInSsGWBjbL,https://api.spotify.com/v1/tracks/0jiKqHfWmSgPInSsGWBjbL,https://api.spotify.com/v1/audio-analysis/0jiKqHfWmSgPInSsGWBjbL,245640.0,4.0
Xenomena,0.72,0.699,5.0,-10.306,0.0,0.0336,0.01,0.761,0.216,0.205,115.015,audio_features,6YZURKKNAO0mDdEtrsRQxv,spotify:track:6YZURKKNAO0mDdEtrsRQxv,https://api.spotify.com/v1/tracks/6YZURKKNAO0mDdEtrsRQxv,https://api.spotify.com/v1/audio-analysis/6YZURKKNAO0mDdEtrsRQxv,281827.0,4.0
Dark Horizon,,,,,,,,,,,,,,,,,,
Promise of the Father,,,,,,,,,,,,,,,,,,
Too Close,,,,,,,,,,,,,,,,,,
Spiritual Minds - Instrumental,0.783,0.474,2.0,-19.43,1.0,0.0611,0.258,0.932,0.112,0.72,133.079,audio_features,0ixObFI1Lhi7L55EHvLzgU,spotify:track:0ixObFI1Lhi7L55EHvLzgU,https://api.spotify.com/v1/tracks/0ixObFI1Lhi7L55EHvLzgU,https://api.spotify.com/v1/audio-analysis/0ixObFI1Lhi7L55EHvLzgU,68650.0,4.0
Zodiac,0.657,0.842,10.0,-9.015,0.0,0.0474,0.0744,0.897,0.101,0.182,125.99,audio_features,1yZBuUYcA0Ug7Y7ImNdhwt,spotify:track:1yZBuUYcA0Ug7Y7ImNdhwt,https://api.spotify.com/v1/tracks/1yZBuUYcA0Ug7Y7ImNdhwt,https://api.spotify.com/v1/audio-analysis/1yZBuUYcA0Ug7Y7ImNdhwt,342857.0,4.0
For Love,0.701,0.781,5.0,-10.384,0.0,0.04,0.272,0.632,0.11,0.378,120.007,audio_features,5lIlwCysofF8YMbHAuF7hp,spotify:track:5lIlwCysofF8YMbHAuF7hp,https://api.spotify.com/v1/tracks/5lIlwCysofF8YMbHAuF7hp,https://api.spotify.com/v1/audio-analysis/5lIlwCysofF8YMbHAuF7hp,292513.0,4.0
Heady Messages - Original Mix,0.658,0.24,2.0,-18.391,0.0,0.0489,0.186,0.564,0.198,0.0842,160.068,audio_features,1rI7GVe9TE8p0wp96VGy5w,spotify:track:1rI7GVe9TE8p0wp96VGy5w,https://api.spotify.com/v1/tracks/1rI7GVe9TE8p0wp96VGy5w,https://api.spotify.com/v1/audio-analysis/1rI7GVe9TE8p0wp96VGy5w,420000.0,3.0
Highway Pacific - Original Ericeira Beat,0.794,0.31,1.0,-16.214,1.0,0.137,0.385,0.734,0.108,0.256,120.012,audio_features,5epOCRuXOwpPZ49q0CTBd0,spotify:track:5epOCRuXOwpPZ49q0CTBd0,https://api.spotify.com/v1/tracks/5epOCRuXOwpPZ49q0CTBd0,https://api.spotify.com/v1/audio-analysis/5epOCRuXOwpPZ49q0CTBd0,416000.0,4.0
You're Safe - Original Mix,0.719,0.415,11.0,-19.603,1.0,0.0629,0.275,0.719,0.0673,0.0516,93.995,audio_features,6UobaQZzGCqBr6V8ItACZR,spotify:track:6UobaQZzGCqBr6V8ItACZR,https://api.spotify.com/v1/tracks/6UobaQZzGCqBr6V8ItACZR,https://api.spotify.com/v1/audio-analysis/6UobaQZzGCqBr6V8ItACZR,438000.0,4.0
"Let's die together, Я не шучу",0.677,0.639,0.0,-12.074,1.0,0.053,0.466,0.677,0.162,0.312,123.875,audio_features,24h61yz5qVJm5QUyG3FPKD,spotify:track:24h61yz5qVJm5QUyG3FPKD,https://api.spotify.com/v1/tracks/24h61yz5qVJm5QUyG3FPKD,https://api.spotify.com/v1/audio-analysis/24h61yz5qVJm5QUyG3FPKD,159375.0,4.0
Echoes,0.285,0.322,6.0,-16.58,0.0,0.0445,0.367,0.649,0.107,0.138,133.577,audio_features,7kriFJLY2KOhw5en9iI2jb,spotify:track:7kriFJLY2KOhw5en9iI2jb,https://api.spotify.com/v1/tracks/7kriFJLY2KOhw5en9iI2jb,https://api.spotify.com/v1/audio-analysis/7kriFJLY2KOhw5en9iI2jb,1412451.0,4.0
Crossing Beyond - Mumukshu Remix,0.626,0.572,7.0,-9.52,1.0,0.0287,0.184,0.908,0.0982,0.0887,100.006,audio_features,1QNuX8xD6YqyPOP6Q9kp8k,spotify:track:1QNuX8xD6YqyPOP6Q9kp8k,https://api.spotify.com/v1/tracks/1QNuX8xD6YqyPOP6Q9kp8k,https://api.spotify.com/v1/audio-analysis/1QNuX8xD6YqyPOP6Q9kp8k,306000.0,4.0
Circling the Crown,0.748,0.601,7.0,-11.386,0.0,0.0566,0.171,0.841,0.127,0.393,117.999,audio_features,44KigP2SrCgPZx70wCfRh9,spotify:track:44KigP2SrCgPZx70wCfRh9,https://api.spotify.com/v1/tracks/44KigP2SrCgPZx70wCfRh9,https://api.spotify.com/v1/audio-analysis/44KigP2SrCgPZx70wCfRh9,538475.0,4.0
Nirmohi,0.597,0.723,10.0,-6.594,1.0,0.062,0.159,0.0,0.199,0.727,79.97,audio_features,5MAaHGT5A7HIoiRn5ysrxt,spotify:track:5MAaHGT5A7HIoiRn5ysrxt,https://api.spotify.com/v1/tracks/5MAaHGT5A7HIoiRn5ysrxt,https://api.spotify.com/v1/audio-analysis/5MAaHGT5A7HIoiRn5ysrxt,258800.0,4.0
Crossing the Rubicon,0.208,0.189,7.0,-15.094,0.0,0.0349,0.552,0.0714,0.239,0.0395,176.128,audio_features,2C9vogk4qornMIf848z335,spotify:track:2C9vogk4qornMIf848z335,https://api.spotify.com/v1/tracks/2C9vogk4qornMIf848z335,https://api.spotify.com/v1/audio-analysis/2C9vogk4qornMIf848z335,658390.0,4.0
imaginary friends (ov) - Morgan Page Remix,0.758,0.847,2.0,-7.394,0.0,0.0687,0.149,0.906,0.203,0.227,128.086,audio_features,30JVP4BB4KlPaQgiLsMdV8,spotify:track:30JVP4BB4KlPaQgiLsMdV8,https://api.spotify.com/v1/tracks/30JVP4BB4KlPaQgiLsMdV8,https://api.spotify.com/v1/audio-analysis/30JVP4BB4KlPaQgiLsMdV8,187959.0,3.0
